Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Switzerland,CHE,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41E+11,1.71E+11,1.6E+11,1.74E+11,1.95E+11,2.71713E+11,2.84092E+11,4.33621E+11,4.02104E+11,5.75338E+11,6.89199E+11,6.93127E+11,7.92316E+11,6.25815E+11,5.52549E+11,7.26949E+11,8.25849E+11,9.38624E+11,1.21251E+12,1.27452E+12,8.62663E+11,1.07069E+12,1.22936E+12,9.32207E+11,1.07902E+12,
Channel Islands,CHI,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6849999872,9589999616,13600000000,28000000000,29600000000,44600000512,68200001536,73860000000,65940000000,72046000000,51866000000,68227524200,60400770000,56309720000,47584210000,86291370000,1.17065E+11,1.36446E+11,1.74556E+11,2.1291E+11,1.32428E+11,2.09475E+11,3.41584E+11,2.70289E+11,3.13325E+11,
China,CHN,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030000000,18300000256,40599998464,43499999232,42055000000,1.13755E+11,2.06366E+11,2.31322E+11,3.30703E+11,5.80991E+11,5.23952E+11,4.6308E+11,6.81204E+11,6.39765E+11,7.80763E+11,2.42633E+12,6.22631E+12,2.79361E+12,5.00765E+12,4.76284E+12,3.3891E+12,3.69738E+12,
Cote d'Ivoire,CIV,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437000000,531000000,549000000,541000000,483000000,414000000,428000000,866000000,914000000,1276000000,1818000000,1514155400,1185260000,1164650000,1328140000,1650130000,2082620000,2327380000,4155260000,8352890000,7070749775,6141288223,7099215729,6288000000,7828691788,
Latin America and the Caribbean (IFC classification),CLA,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa (IFC classification),CME,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140000000,1140000000,1420000000,4040000000,5680000000,9240000512,14000000000,17893000000,17137000000,19529500000,13357000000,11590218200,9559580000,13216810000,9663710000,14258480000,25222880000,46016190000,56204320000,1.01956E+11,87032363670,1.33301E+11,2.08502E+11,2.01296E+11,2.62101E+11,
Comoros,COM,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
